id,sex,year,week,dist_week(km),time_week(s),elevation_week(m),nb_run_week,calories_week
5821400,M,2021,38,46.6381,13595,271.1,4,2821
5821400,M,2021,41,28.6257,8184,169.2,3,1598
5821400,M,2021,42,73.09649999999999,21440,1067.2,6,4041
5821400,M,2021,43,76.4402,22327,1498,5,4017
5821400,M,2021,44,57.3617,16748,584.4,4,3335
7948503,M,2019,0,15.9474,4961,398,1,1169
7948503,M,2019,2,28.3064,8369,277,2,1766
7948503,M,2019,1,17.0001,5087,107,1,912
7948503,M,2019,6,14.9981,4009,152,1,907
7948503,M,2019,3,47.0393,14170,359,4,2738
7948503,M,2019,7,15.6908,4800,104,1,1015
7948503,M,2019,5,33.2787,9972,211,3,1901
7948503,M,2019,9,22.3624,6540,244,1,1284
7948503,M,2019,8,12.1724,3600,120,1,734
7948503,M,2019,11,25.554000000000002,6327,202,2,1577
7948503,M,2019,10,22.9598,6803,161,2,1584
7948503,M,2019,13,10.1622,3000,190,1,660
7948503,M,2019,12,13.749,4200,48,1,963
7948503,M,2019,15,25.3028,7601,368,2,1757
7948503,M,2019,16,11.1851,3420,229,1,765
7948503,M,2019,17,78.9861,22911,680,3,4370
7948503,M,2019,18,23.1515,7200,349,2,1497
7948503,M,2019,20,114.252,72214,6925,1,6658
7948503,M,2019,22,5.2939,1350,27.8,1,407
7948503,M,2019,23,36.6754,10281,758.8,2,2428
7948503,M,2019,24,31.114800000000002,8375,62.4,2,1922
7948503,M,2019,25,34.7216,16016,918.8,2,2219
7948503,M,2019,26,26.589199999999998,7279,232.2,2,1634
7948503,M,2019,27,71.1121,32673,2889,3,4842
7948503,M,2019,28,36.3425,10497,400,3,2334
7948503,M,2019,29,68.6306,19617,204,4,4701.2
7948503,M,2019,30,34.0344,9269,309,2,2552
7948503,M,2019,32,49.5095,16346,434,2,3686
7948503,M,2019,35,24.542299999999997,8903,857,2,1932
7948503,M,2019,33,16.9969,16379,1131,1,948
7948503,M,2019,36,31.6934,11400,1008,2,2168
7948503,M,2019,37,38.5723,14194,898,2,2721
7948503,M,2019,38,12.987,5400,499,1,1079
7948503,M,2019,39,47.2907,15301,1318.2,3,3341
7948503,M,2019,40,9.1579,3993,340,1,652
7948503,M,2019,43,26.8638,8230,232,2,1610
7948503,M,2019,42,27.072100000000002,13017,1105,2,1793
7948503,M,2019,44,31.9284,9189,216,3,2043
7948503,M,2019,41,61.9468,27328,2788,1,4216
7948503,M,2019,45,15.0006,4652,175,1,877
7948503,M,2019,46,18.2852,5810,260,2,1136
7948503,M,2019,49,50.8306,15986,656,4,3017
7948503,M,2019,50,44.06739999999999,14806,580,3,2533
7948503,M,2019,48,14.3898,6600,622,1,1039
